English,Korean
doctor,의사
teacher,교사
engineer,엔지니어
lawyer,변호사
accountant,회계사
nurse,간호사
architect,건축가
scientist,과학자
pharmacist,약사
dentist,치과의사
chinese_chef,중식 요리사
japanese_chef,일식 요리사
korean_chef,한식 요리사
american_chef,양식 요리사
firefighter,소방관
police_officer,경찰관
pilot,조종사
writer,작가
journalist,기자
actor,배우
musician,음악가
photographer,사진사
farmer,농부
carpenter,목수
plumber,배관공
mechanic,정비사
electrician,전기공
veterinarian,수의사
scientist,과학자
software_developer,소프트웨어 개발자
data_analyst,데이터 분석가
marketing_manager,마케팅 매니저
sales_manager,영업 매니저
human_resources_manager,인사 관리자
financial_analyst,재무 분석가
investment_banker,투자 은행가
real_estate_agent,부동산 중개인
construction_worker,건설 노동자
truck_driver,트럭 운전사
taxi_driver,택시 기사
bus_driver,버스 기사
airline_attendant,항공 승무원
receptionist,접수원
customer_service_representative,고객 서비스 담당자
call_center_operator,콜센터 운영자
librarian,사서
it_support_specialist,IT 지원 전문가
network_administrator,네트워크 관리자
database_administrator,데이터베이스 관리자
security_guard,경비원
cashier,계산원
store_manager,매장 관리자
chef,요리사
wedding_planner,웨딩플래너
artist,화가
comedian,코미디언
streamer,스트리머
pd,피디
ticktocker,틱톡커
blogger,블로거
cheer_leader,치어리더
announcer,아나운서
fisher,어부
flourist,플로리스트
bartender,바텐더
building_owner,건물주
maid,메이드
gambler,도박사
public_official,공무원
president,대통령
soldier,군인
spy,간첩
detective,탐정
buddhist_monk,스님
prophet,예언가
zookeeper,사육사
tourist_guide,관광 가이드
unemployed,백수
waiter,웨이터
poet,시인
opera_singer,성악가
b-boy,비보이
magician,마술사
model,모델
stuntman,스턴트맨
mc,엠씨
circus_leader,서커스 단장
racing_driver,레이싱 드라이버
professional_gammer,프로게이머
professional_wrestler,프로레슬러
secretary,비서
blacksmith,대장장이
perfumer,조향사
female_diver,해녀
bank_clerk,은행원
loan_shark,사채업자
car_dealer,자동차 영업사원
hair_designer,헤어디자이너
hotelier,호텔리어
insurance_sales_agent,보험판매원
as_job,에어컨수리기사
